date,description,category,type,amount
2026-09-01,Salario,Receita,entrada,5800
2026-09-02,Aluguel,Moradia,saida,1500
2026-09-03,Supermercado,Alimentacao,saida,412
2026-09-04,Uber,Transporte,saida,48
2026-09-05,Netflix,Assinaturas,saida,59
2026-09-06,Restaurante,Alimentacao,saida,120
2026-09-07,Internet,Contas,saida,110
2026-09-08,Energia,Contas,saida,185
2026-09-09,Farmacia,Saude,saida,75
2026-09-10,Academia,Saude,saida,120
2026-09-11,Uber,Transporte,saida,35
2026-09-12,Shopping,Lazer,saida,250
2026-09-13,Supermercado,Alimentacao,saida,280
2026-09-14,Spotify,Assinaturas,saida,22
2026-09-15,Freelance,Receita,entrada,600
2026-09-16,Restaurante,Alimentacao,saida,98
2026-09-17,Gasolina,Transporte,saida,180
2026-09-18,Cinema,Lazer,saida,70
2026-09-19,Supermercado,Alimentacao,saida,330
2026-09-20,Telefone,Contas,saida,65
2026-09-21,Uber,Transporte,saida,250
